cons.conf.idx,y,y
-50.8,no,70
-50.8,yes,58
-50.0,no,156
-50.0,yes,126
-49.5,no,111
-49.5,yes,93
-47.1,no,2016
-47.1,yes,442
-46.2,no,5270
-46.2,yes,524
-45.9,no,9
-45.9,yes,1
-42.7,no,6278
-42.7,yes,407
-42.0,no,3426
-42.0,yes,190
-41.8,no,4186
-41.8,yes,188
-40.8,no,451
-40.8,yes,264
-40.4,no,25
-40.4,yes,42
-40.3,no,135
-40.3,yes,176
-40.0,no,90
-40.0,yes,122
-39.8,no,122
-39.8,yes,107
-38.3,no,113
-38.3,yes,120
-37.5,no,153
-37.5,yes,150
-36.4,no,7523
-36.4,yes,240
-36.1,no,4904
-36.1,yes,271
-34.8,no,114
-34.8,yes,150
-34.6,no,77
-34.6,yes,97
-33.6,no,112
-33.6,yes,66
-33.0,no,84
-33.0,yes,88
-31.4,no,506
-31.4,yes,264
-30.1,no,189
-30.1,yes,168
-29.8,no,161
-29.8,yes,106
-26.9,no,267
-26.9,yes,180
