cons.price.idx,y,y
92.201,no,506
92.201,yes,264
92.379,no,161
92.379,yes,106
92.431,no,267
92.431,yes,180
92.469,no,112
92.469,yes,66
92.649,no,189
92.649,yes,168
92.713,no,84
92.713,yes,88
92.756,no,9
92.756,yes,1
92.843,no,156
92.843,yes,126
92.893,no,5270
92.893,yes,524
92.963,no,451
92.963,yes,264
93.075,no,2016
93.075,yes,442
93.2,no,3426
93.2,yes,190
93.369,no,114
93.369,yes,150
93.444,no,4904
93.444,yes,271
93.749,no,77
93.749,yes,97
93.798,no,25
93.798,yes,42
93.876,no,90
93.876,yes,122
93.918,no,6278
93.918,yes,407
93.994,no,7523
93.994,yes,240
94.027,no,113
94.027,yes,120
94.055,no,122
94.055,yes,107
94.199,no,153
94.199,yes,150
94.215,no,135
94.215,yes,176
94.465,no,4186
94.465,yes,188
94.601,no,111
94.601,yes,93
94.767,no,70
94.767,yes,58
